"","","msnbc","nyt","foxnews","huffingtonpost","washingtonpost"
"1","Alabama","0.216666666666667","0.037037037037037","0","0.133333333333333","0.0104166666666667"
"2","Alaska","0.8","0.222222222222222","0.27536231884058","0.533333333333333","0.0520833333333333"
"3","Arizona","0.35","0.0987654320987654","0.507246376811594","0.2","0.0208333333333333"
"4","Arkansas","0.133333333333333","0.0123456790123457","0.449275362318841","0","0"
"5","California","0.1","0.222222222222222","1","0.253333333333333","0.0208333333333333"
"6","Colorado","0.333333333333333","0.234567901234568","0.608695652173913","0.36","0.03125"
"7","Connecticut","0.6","0.703703703703704","0.811594202898551","0.373333333333333","0.0520833333333333"
"8","Delaware","0.45","0.308641975308642","0.710144927536232","0.426666666666667","0.114583333333333"
"9","District of Columbia","0.5","0.790123456790123","0.753623188405797","1","1"
"10","Florida","0.166666666666667","0.111111111111111","0.753623188405797","0.186666666666667","0.0208333333333333"
"11","Georgia","0","0.037037037037037","0.492753623188406","0.106666666666667","0.0208333333333333"
"12","Hawaii","0.2","0.197530864197531","0.985507246376812","0.266666666666667","0.03125"
"13","Idaho","0.5","0.111111111111111","0.347826086956522","0.293333333333333","0.0416666666666667"
"14","Illinois","0.166666666666667","0.172839506172839","0.840579710144927","0.24","0.0208333333333333"
"15","Indiana","0.316666666666667","0.111111111111111","0.63768115942029","0.08","0.0104166666666667"
"16","Iowa","0.45","0.148148148148148","0.63768115942029","0.213333333333333","0.0208333333333333"
"17","Kansas","0.183333333333333","0.0493827160493827","0.579710144927536","0.173333333333333","0.0104166666666667"
"18","Kentucky","0.2","0.0617283950617284","0.594202898550725","0.133333333333333","0.0104166666666667"
"19","Louisiana","0.05","0.0493827160493827","0.536231884057971","0.133333333333333","0.0104166666666667"
"20","Maine","0.85","0.641975308641975","0.608695652173913","0.626666666666667","0.09375"
"21","Maryland","0.55","0.37037037037037","0.739130434782609","0.72","0.71875"
"22","Massachusetts","0.283333333333333","0.604938271604938","0.855072463768116","0.586666666666667","0.0625"
"23","Michigan","0.166666666666667","0.135802469135802","0.594202898550725","0.213333333333333","0.0208333333333333"
"24","Minnesota","0.3","0.246913580246914","0.623188405797101","0.4","0.03125"
"25","Mississippi","0","0","0.391304347826087","0.0933333333333333","0"
"26","Missouri","0.3","0.0987654320987654","0.260869565217391","0.173333333333333","0.0208333333333333"
"27","Montana","0.65","0.308641975308642","0.144927536231884","0.413333333333333","0.0520833333333333"
"28","Nebraska","0.333333333333333","0.0987654320987654","0.565217391304348","0.146666666666667","0.0208333333333333"
"29","Nevada","0.25","0.0246913580246914","0.695652173913043","0.133333333333333","0.0104166666666667"
"30","New Hampshire","0.533333333333333","0.37037037037037","0.652173913043478","0.36","0.0625"
"31","New Jersey","0.316666666666667","0.407407407407407","0.942028985507246","0.253333333333333","0.03125"
"32","New Mexico","0.6","0.271604938271605","0.579710144927536","0.4","0.0520833333333333"
"33","New York","0.2","0.925925925925926","1","0.293333333333333","0.0520833333333333"
"34","North Carolina","0.266666666666667","0.123456790123457","0.507246376811594","0.226666666666667","0.0520833333333333"
"35","North Dakota","0.35","0.0493827160493827","0.492753623188406","0.146666666666667","0.0208333333333333"
"36","Ohio","0.366666666666667","0.135802469135802","0.463768115942029","0.146666666666667","0.0208333333333333"
"37","Oklahoma","0.2","0","0.536231884057971","0.0666666666666667","0"
"38","Oregon","0.133333333333333","0.185185185185185","0.927536231884058","0.44","0.0208333333333333"
"39","Pennsylvania","0.4","0.296296296296296","0.710144927536232","0.333333333333333","0.0520833333333333"
"40","Rhode Island","1","0.493827160493827","0.840579710144927","0.453333333333333","0.0520833333333333"
"41","South Carolina","0.183333333333333","0.0617283950617284","0.333333333333333","0.173333333333333","0.0416666666666667"
"42","South Dakota","0.316666666666667","0.037037037037037","0.318840579710145","0.106666666666667","0.0104166666666667"
"43","Tennessee","0.216666666666667","0.0493827160493827","0.434782608695652","0.133333333333333","0.0104166666666667"
"44","Texas","0.0166666666666667","0.037037037037037","0.652173913043478","0.08","0"
"45","Utah","0.0666666666666667","0.135802469135802","0.652173913043478","0.16","0.0104166666666667"
"46","Vermont","0.766666666666667","1","0.739130434782609","0.6","0.114583333333333"
"47","Virginia","0.216666666666667","0.172839506172839","0.797101449275362","0.653333333333333","0.4375"
"48","Washington","0.416666666666667","0.320987654320988","0.826086956521739","0.466666666666667","0.0520833333333333"
"49","West Virginia","0.3","0.0246913580246914","0.507246376811594","0.32","0.0833333333333333"
"50","Wisconsin","0.416666666666667","0.185185185185185","0.391304347826087","0.346666666666667","0.0208333333333333"
"51","Wyoming","0.516666666666667","0.148148148148148","0.072463768115942","0.36","0.0208333333333333"
