"","","msnbc","nyt","foxnews","huffingtonpost","washingtonpost"
"1","Alabama","0.431034482758621","0.173333333333333","0","0.216867469879518","0.0326086956521739"
"2","Alaska","1","0.466666666666667","0.228571428571429","0.674698795180723","0.25"
"3","Arizona","0.327586206896552","0.2","0.614285714285714","0.180722891566265","0.0326086956521739"
"4","Arkansas","0.344827586206897","0.0266666666666667","0.314285714285714","0.0602409638554217","0"
"5","California","0.0344827586206897","0.16","1","0.168674698795181","0.0217391304347826"
"6","Colorado","0.396551724137931","0.306666666666667","0.614285714285714","0.44578313253012","0.0760869565217391"
"7","Connecticut","0.46551724137931","0.733333333333333","0.914285714285714","0.433734939759036","0.0652173913043478"
"8","Delaware","0.431034482758621","0.2","0.8","0.819277108433735","0.293478260869565"
"9","District of Columbia","0.396551724137931","0.48","0.771428571428571","1","1"
"10","Florida","0.258620689655172","0.16","0.628571428571429","0.253012048192771","0.0434782608695652"
"11","Georgia","0.172413793103448","0.16","0.342857142857143","0.337349397590361","0.0434782608695652"
"12","Hawaii","0.275862068965517","0.28","0.985714285714286","0.44578313253012","0.0652173913043478"
"13","Idaho","0.362068965517241","0.146666666666667","0.6","0.373493975903614","0.0543478260869565"
"14","Illinois","0.344827586206897","0.28","0.785714285714286","0.325301204819277","0.0434782608695652"
"15","Indiana","0.396551724137931","0.24","0.585714285714286","0.240963855421687","0.0326086956521739"
"16","Iowa","0.517241379310345","0.24","0.685714285714286","0.168674698795181","0.0217391304347826"
"17","Kansas","0.293103448275862","0.0933333333333333","0.557142857142857","0.313253012048193","0.0434782608695652"
"18","Kentucky","0.46551724137931","0.12","0.442857142857143","0.27710843373494","0.0434782608695652"
"19","Louisiana","0.0862068965517241","0.0933333333333333","0.371428571428571","0.204819277108434","0.0326086956521739"
"20","Maine","0.827586206896552","0.693333333333333","0.714285714285714","0.55421686746988","0.119565217391304"
"21","Maryland","0.53448275862069","0.36","0.7","0.855421686746988","0.858695652173913"
"22","Massachusetts","0.189655172413793","0.6","0.9","0.44578313253012","0.0760869565217391"
"23","Michigan","0.275862068965517","0.24","0.714285714285714","0.240963855421687","0.0434782608695652"
"24","Minnesota","0.413793103448276","0.32","0.628571428571429","0.44578313253012","0.0652173913043478"
"25","Mississippi","0.293103448275862","0.08","0.185714285714286","0.228915662650602","0.0326086956521739"
"26","Missouri","0.46551724137931","0.213333333333333","0.428571428571429","0.325301204819277","0.0434782608695652"
"27","Montana","0.827586206896552","0.493333333333333","0.5","0.409638554216867","0.0543478260869565"
"28","Nebraska","0.431034482758621","0.12","0.571428571428571","0.144578313253012","0.0108695652173913"
"29","Nevada","0.293103448275862","0.0266666666666667","0.557142857142857","0.132530120481928","0.0108695652173913"
"30","New Hampshire","0.413793103448276","0.253333333333333","0.814285714285714","0.457831325301205","0.0760869565217391"
"31","New Jersey","0.241379310344828","0.426666666666667","0.857142857142857","0.373493975903614","0.0543478260869565"
"32","New Mexico","0.672413793103448","0.306666666666667","0.542857142857143","0.216867469879518","0.0326086956521739"
"33","New York","0.258620689655172","1","0.942857142857143","0.457831325301205","0.0760869565217391"
"34","North Carolina","0.46551724137931","0.16","0.5","0.530120481927711","0.0978260869565217"
"35","North Dakota","0.413793103448276","0.04","0.742857142857143","0.216867469879518","0.0326086956521739"
"36","Ohio","0.482758620689655","0.173333333333333","0.528571428571429","0.421686746987952","0.0652173913043478"
"37","Oklahoma","0.241379310344828","0","0.457142857142857","0.0602409638554217","0.0108695652173913"
"38","Oregon","0.482758620689655","0.373333333333333","0.714285714285714","0.493975903614458","0.0869565217391304"
"39","Pennsylvania","0.344827586206897","0.333333333333333","0.728571428571429","0.506024096385542","0.0869565217391304"
"40","Rhode Island","0.586206896551724","0.4","1","0.44578313253012","0.0760869565217391"
"41","South Carolina","0.379310344827586","0.2","0.314285714285714","0.36144578313253","0.0434782608695652"
"42","South Dakota","0.275862068965517","0.04","0.628571428571429","0.192771084337349","0.0326086956521739"
"43","Tennessee","0.53448275862069","0.12","0.314285714285714","0.228915662650602","0.0326086956521739"
"44","Texas","0.206896551724138","0.12","0.585714285714286","0.156626506024096","0.0108695652173913"
"45","Utah","0","0.08","0.785714285714286","0","0"
"46","Vermont","0.775862068965517","0.786666666666667","0.814285714285714","0.566265060240964","0.173913043478261"
"47","Virginia","0.0344827586206897","0.0933333333333333","0.971428571428571","0.686746987951807","0.271739130434783"
"48","Washington","0.517241379310345","0.493333333333333","0.8","0.518072289156627","0.0869565217391304"
"49","West Virginia","0.413793103448276","0.24","0.371428571428571","0.55421686746988","0.130434782608696"
"50","Wisconsin","0.396551724137931","0.306666666666667","0.642857142857143","0.27710843373494","0.0434782608695652"
"51","Wyoming","0.241379310344828","0.173333333333333","0.5","0.530120481927711","0.108695652173913"
